ID	| NAMA	| HARGA/1000	| MIN	| MAX	| KATEGORI
588	| TikTok Live Stream Views | 30 Minutes - Max 100K - INSTANT	| Rp 47806.00	| 10	| 30000	| TikTok Livestream Views | Server 5
589	| TikTok Live Stream Views | 60 Minutes - Max 100K - INSTANT	| Rp 95611.00	| 10	| 30000	| TikTok Livestream Views | Server 5
590	| TikTok Live Stream Views | 90 Minutes - Max 100K - INSTANT	| Rp 143417.00	| 10	| 30000	| TikTok Livestream Views | Server 5
591	| TikTok Live Stream Views | 120 Minutes - Max 100K - INSTANT	| Rp 191222.00	| 10	| 30000	| TikTok Livestream Views | Server 5
592	| TikTok Live Stream Views | 180 Minutes - Max 100K - INSTANT	| Rp 286833.00	| 10	| 30000	| TikTok Livestream Views | Server 5
593	| TikTok Live Stream Views | 240 Minutes - Max 100K - INSTANT	| Rp 382443.00	| 10	| 30000	| TikTok Livestream Views | Server 5
696	| TikTok Live Stream Views | 15 Minutes - Max 100K - SUPER FAST 💧	| Rp 19336.00	| 50	| 100000	| TikTok Livestream Views | Server 7
697	| TikTok Live Stream Views | 30 Minutes - Max 100K - SUPER FAST 💧	| Rp 47178.00	| 50	| 100000	| TikTok Livestream Views | Server 7
698	| TikTok Live Stream Views | 60 Minutes - Max 100K - SUPER FAST 💧	| Rp 93842.00	| 50	| 100000	| TikTok Livestream Views | Server 7
699	| TikTok Live Stream Views | 90 Minutes - Max 100K - SUPER FAST 💧	| Rp 140634.00	| 50	| 100000	| TikTok Livestream Views | Server 7
700	| TikTok Live Stream Views | 120 Minutes - Max 100K - SUPER FAST 💧	| Rp 187937.00	| 50	| 100000	| TikTok Livestream Views | Server 7
701	| TikTok Live Stream Views | 180 Minutes - Max 100K - SUPER FAST 💧	| Rp 282034.00	| 50	| 100000	| TikTok Livestream Views | Server 7
702	| TikTok Live Stream Views | 240 Minutes - Max 100K - SUPER FAST 💧	| Rp 374852.00	| 50	| 100000	| TikTok Livestream Views | Server 7
825	| TikTok Live Stream Views | 15 Minutes - Max 15K - Emergency Server	| Rp 140454.00	| 50	| 15000	| TikTok Livestream Views | Server 9
826	| TikTok Live Stream Views | 30 Minutes - Max 15K - Emergency Server	| Rp 280908.00	| 50	| 15000	| TikTok Livestream Views | Server 9
827	| TikTok Live Stream Views | 60 Minutes - Max 15K - Emergency Server	| Rp 561816.00	| 50	| 15000	| TikTok Livestream Views | Server 9
828	| TikTok Live Stream Views | 90 Minutes - Max 15K - Emergency Server	| Rp 842723.00	| 50	| 15000	| TikTok Livestream Views | Server 9
829	| TikTok Live Stream Views | 120 Minutes - Max 15K - Emergency Server	| Rp 1123631.00	| 50	| 15000	| TikTok Livestream Views | Server 9
830	| TikTok Live Stream Views | 180 Minutes - Max 15K - Emergency Server	| Rp 1685446.00	| 50	| 15000	| TikTok Livestream Views | Server 9
831	| TikTok Live Stream Views | 240 Minutes - Max 15K - Emergency Server	| Rp 2247261.00	| 50	| 15000	| TikTok Livestream Views | Server 9
